Participant ID,Name of CCASS Participant(* for Consenting Investor Participants ),Address,Shareholding,% of the total numberof Issued Shares/Warrants/Units
C00037,SHANGHAI COMMERCIAL BANK LTD,C/O SECURITIES PROCESSING CENTRE LEVEL 23 TOWER 2 KOWLOON COMMERCE CENTRE 51 KWAI CHEONG ROAD KWAI CHUNG NEW TERRITORIES,"9,096,002",0.23%
B01089,HSBC BROKING SECURITIES (HONG KONG) LTD,LEVEL 25 HSBC MAIN BUILDING 1 QUEEN'S ROAD CENTRAL HONG KONG,"7,793,529",0.20%
B01323,DEUTSCHE SECURITIES ASIA LTD,52/F INTERNATIONAL COMMERCE CENTRE 1 AUSTIN ROAD WEST KOWLOON,"7,601,536",0.19%
C00015,DBS BANK (HONG KONG) LTD,11/F MILLENNIUM CITY 6 392 KWUN TONG ROAD KWUN TONG KOWLOON,"6,515,633",0.16%
B01491,CREDIT SUISSE SECURITIES (HONG KONG) LTD,LEVEL 88 INTERNATIONAL COMMERCE CENTRE 1 AUSTIN ROAD WEST KOWLOON,"6,307,470",0.16%
C00002,BANK OF COMMUNICATIONS TRUSTEE LTD,15/F BANK OF COMMUNICATIONS TOWER 231-235 GLOUCESTER ROAD WANCHAI HONG KONG,"6,190,997",0.16%
B01762,DBS VICKERS (HONG KONG) LTD,18/F MAN YEE BUILDING 68 DES VOEUX ROAD CENTRAL HONG KONG,"6,116,381",0.15%
B01353,UOB KAY HIAN (HONG KONG) LTD,RM 1501 AON CHINA BUILDING 29 QUEEN'S ROAD CENTRAL HONG KONG,"5,172,396",0.13%
B01118,EAST ASIA SECURITIES CO LTD,C/O BEA SETTLEMENT OPERATIONS DEPT-IOS 35/F BEA TOWER MILLENNIUM CITY 5 418 KWUN TONG ROAD KOWLOON,"5,125,154",0.13%
B01727,ICBC (ASIA) SECURITIES LTD,LEVEL 16 TOWER 1 MILLENNIUM CITY 1 388 KWUN TONG ROAD KWUN TONG KOWLOON,"4,757,070",0.12%
B01133,RBC INVESTMENT SERVICES (ASIA) LTD,RM 1701 CHEUNG KONG CENTER 2 QUEEN'S ROAD CENTRAL HONG KONG,"4,741,888",0.12%
C00028,NANYANG COMMERCIAL BANK LTD,11/F BANK OF CHINA CENTRE OLYMPIAN CITY 11 HOI FAI ROAD WEST KOWLOON,"3,978,306",0.10%
C00036,CHINA CONSTRUCTION BANK (ASIA),20/F CCB CENTRE 18 WANG CHIU ROAD KOWLOON BAY KOWLOON,"3,844,502",0.09%
B01086,SUN HUNG KAI INVESTMENT SERVICES LTD,42/F LEE GARDEN ONE 33 HYSAN AVENUE CAUSEWAY BAY HONG KONG,"3,555,914",0.09%
C00058,CHINA CITIC BANK INTERNATIONAL LTD,18/F DEVON HOUSE TAIKOO PLACE 979 KING'S ROAD QUARRY BAY HONG KONG,"3,375,976",0.08%
B01274,MORGAN STANLEY HONG KONG SECURITIES LTD,46/F INTERNATIONAL COMMERCE CENTRE 1 AUSTIN ROAD WEST KOWLOON,"3,282,333",0.08%
B01695,DAH SING SECURITIES LTD,RM 2403 24/F EVERBRIGHT CENTRE 108 GLOUCESTER ROAD WANCHAI HONG KONG,"2,903,469",0.07%
B01668,BRIGHT SMART SECURITIES INTERNATIONAL,10/F WING ON HOUSE 71 DES VOEUX ROAD CENTRAL CENTRAL HONG KONG,"2,496,477",0.06%
B01183,CHONG HING SECURITIES LTD,2/F CHONG HING BANK CENTRE 24 DES VOEUX ROAD CENTRAL HONG KONG,"2,472,703",0.06%
C00048,CHIYU BANKING CORPORATION LTD,11/F BANK OF CHINA CENTRE OLYMPIAN CITY 11 HOI FAI ROAD WEST KOWLOON,"2,147,202",0.05%
B01590,INTERACTIVE BROKERS HONG KONG LTD,SUITE 1512 TWO PACIFIC PLACE 88 QUEENSWAY HONG KONG,"2,037,290",0.05%
B01345,PHILLIP SECURITIES (HONG KONG) LTD,11/F UNITED CENTRE 95 QUEENSWAY HONG KONG,"1,851,652",0.04%
B01121,SG SECURITIES (HK) LTD,38/F 3 PACIFIC PLACE 1 QUEEN'S ROAD EAST HONG KONG,"1,847,438",0.04%
C00016,DBS BANK LTD,11/F MILLENNIUM CITY 6 392 KWUN TONG ROAD KWUN TONG KOWLOON,"1,715,418",0.04%
B01129,WOCOM SECURITIES LTD,RM 1002 WING ON CENTRE 111 CONNAUGHT ROAD CENTRAL HONG KONG,"1,652,560",0.04%
B01610,KGI ASIA LTD,41/F CENTRAL PLAZA 18 HARBOUR ROAD WANCHAI HONG KONG,"1,585,379",0.04%
C00040,INDUSTRIAL AND COMMERCIAL BANK OF CHINA,LEVEL 16 TOWER 1 MILLENNIUM CITY 1 388 KWUN TONG ROAD KWUN TONG KOWLOON,"1,372,634",0.03%
B01511,TAT LEE SECURITIES CO LTD,RM 1801-1806 PRESIDENT COMMERCIAL CENTRE 608 NATHAN ROAD MONGKOK KOWLOON,"1,303,920",0.03%
B01143,HAITONG INTERNATIONAL SECURITIES CO LTD,22/F LI PO CHUN CHAMBERS 189 DES VOEUX ROAD CENTRAL HONG KONG,"1,240,933",0.03%
B01272,FB SECURITIES (HONG KONG) LTD,19/F GREENWICH CENTRE 260 KING'S ROAD NORTH POINT HONG KONG,"1,147,464",0.02%
B01842,BOCOM INTERNATIONAL SECURITIES LTD,11/F MAN YEE BUILDING 68 DES VOEUX ROAD CENTRAL HONG KONG,"1,128,598",0.02%
B01584,CHIEF SECURITIES LTD,11/F FWD FINANCIAL CENTRE 308 DES VOEUX ROAD CENTRAL HONG KONG,"1,053,803",0.02%
A00004,CHINA SECURITIES DEPOSITORY AND CLEARING,17 TAIPING QIAO STREET XICHENG DISTRICT BEIJING CHINA,"1,050,000",0.02%
B01497,SINOPAC SECURITIES (ASIA) LTD,21/F ONE PEKING 1 PEKING ROAD TSIMSHATSUI KOWLOON,"998,684",0.02%
B01623,TAI FUNG KUENTAI SECURITIES CO LTD,RM 3310 33/F BANK OF AMERICA TOWER 12 HARCOURT ROAD CENTRAL HONG KONG,"998,100",0.02%
C00095,EFG BANK AG,18/F INTERNATIONAL COMMERCE CENTRE 1 AUSTIN ROAD WEST KOWLOON,"947,098",0.02%
B01800,SUN CAPITAL SECURITIES LTD,16/F HARBOUR COMMERCIAL BUILDING 122-124 CONNAUGHT ROAD CENTRAL HONG KONG,"932,668",0.02%
B01582,THING ON SECURITIES LTD,17/F BANK OF EAST ASIA HARBOUR VIEW CENTRE 56 GLOUCESTER ROAD WANCHAI HONG KONG,"922,500",0.02%
B01376,PUBLIC SECURITIES LTD,RM 1101-1103 WING ON HOUSE 71 DES VOEUX ROAD CENTRAL HONG KONG,"788,968",0.02%
B01555,ABN AMRO CLEARING HONG KONG LTD,LEVEL 70 INTERNATIONAL COMMERCE CENTRE 1 AUSTIN ROAD WEST KOWLOON,"643,754",0.01%
B01338,EMPEROR SECURITIES LTD,23/F-24/F EMPEROR GROUP CENTRE 288 HENNESSY ROAD WANCHAI HONG KONG,"630,461",0.01%
C00012,DAH SING BANK LTD,RM 2403 24/F EVERBRIGHT CENTRE 108 GLOUCESTER ROAD WANCHAI HONG KONG,"626,141",0.01%
B01228,CITIC SECURITIES BROKERAGE (HK) LTD,26/F CITIC TOWER 1 TIM MEI AVENUE CENTRAL HONG KONG,"617,048",0.01%
B01265,OCBC WING HANG SHARES BROKERAGE CO. LTD,1/F CHUN WO COMMERCIAL CENTRE 23-29 WING WO STREET CENTRAL HONG KONG,"601,843",0.01%
B01264,KIM ENG SECURITIES (HONG KONG) LTD,28/F LEE GARDEN THREE 1 SUNNING ROAD CAUSEWAY BAY HONG KONG,"597,934",0.01%
B01282,CHELSEA SECURITIES LTD,"RM 702, 704-705 YU YUET LAI BUILDING 43-55 WYNDHAM STREET CENTRAL HONG KONG","588,628",0.01%
B01209,MASON SECURITIES LTD,PORTION 1 12/F THE CENTER 99 QUEEN'S ROAD CENTRAL HONG KONG,"585,065",0.01%
B01169,PUBLIC FINANCIAL SECURITIES LTD,10/F PUBLIC BANK CENTRE 120 DES VOEUX ROAD CENTRAL HONG KONG,"575,060",0.01%
B01148,CHINA MERCHANTS SECURITIES (HK) CO LTD,48/F ONE EXCHANGE SQUARE 8 CONNAUGHT ROAD CENTRAL HONG KONG,"518,060",0.01%
B01362,JOSPA INVESTMENT CO LTD,303-5 YUE SHING COMMERCIAL BLDG 15-16 QUEEN VICTORIA STREET CENTRAL HONG KONG,"507,420",0.01%
B01347,CGS-CIMB SECURITIES (HONG KONG) LTD,25/F GLOUCESTER TOWER THE LANDMARK 15 QUEEN'S ROAD CENTRAL HONG KONG,"481,279",0.01%
B01494,AUDREY CHOW SECURITIES LTD,6/F GRAND BUILDING 15-18 CONNAUGHT ROAD CENTRAL HONG KONG,"468,309",0.01%
B01137,CHOW SANG SANG SECURITIES LTD,RM 1704-1710 KORNHILL PLAZA-OFFICE TOWER 1 KORNHILL ROAD QUARRY BAY HONG KONG,"454,996",0.01%
B01289,SOUTH CHINA SECURITIES LTD,28/F BANK OF CHINA TOWER 1 GARDEN RD CENTRAL HONG KONG,"441,140",0.01%
B01119,CELESTIAL SECURITIES LTD,9/F LOW BLOCK GRAND MILLENNIUM PLAZA 181 QUEEN'S ROAD CENTRAL HONG KONG,"419,603",0.01%
B01246,ROCTEC SECURITIES CO LTD,RM 2406 24/F GRAND MILLENNIUM PLAZA 181 QUEEN'S ROAD CENTRAL HONG KONG,"415,757",0.01%
B01858,YUANTA SECURITIES (HONG KONG) CO LTD,23/F TOWER 1 ADMIRALTY CENTRE 18 HARCOURT ROAD ADMIRALTY HONG KONG,"414,359",0.01%
B01673,FULBRIGHT SECURITIES LTD,33/F COSCO TOWER GRAND MILLENNIUM PLAZA 183 QUEEN'S ROAD CENTRAL HONG KONG,"402,461",0.01%
B01115,SHENWAN HONGYUAN SECURITIES (H.K.) LTD,LEVEL 19 28 HENNESSY ROAD HONG KONG,"395,315",0.01%
B01818,I-ACCESS INVESTORS LTD,SUITES 3208-3211 32/F TOWER TWO TIMES SQUARE 1 MATHESON STREET CAUSEWAY BAY HONG KONG,"387,261",0.01%
B01423,PRUDENTIAL BROKERAGE LTD,RM 901-904 WORLD WIDE HOUSE 19 DES VOEUX ROAD CENTRAL HONG KONG,"385,870",0.01%
B01413,CORE PACIFIC - YAMAICHI INTERNATIONAL,11/F CHINA RESOURCES BUILDING 26 HARBOUR ROAD WANCHAI HONG KONG,"379,892",0.00%
B01355,CHINA EVERBRIGHT SECURITIES (HK) LTD,24/F LEE GARDEN ONE 33 HYSAN AVENUE CAUSEWAY BAY HONG KONG,"373,992",0.00%
B01813,CCB INTERNATIONAL SECURITIES LTD,12/F CCB TOWER 3 CONNAUGHT ROAD CENTRAL CENTRAL HONG KONG,"367,372",0.00%
B01175,F. R. ZIMMERN LTD,RM 1330 PRINCE'S BUILDING 10 CHATER ROAD CENTRAL HONG KONG,"343,955",0.00%
C00102,MACQUARIE BANK LTD,LEVEL 18 ONE INTERNATIONAL FINANCE CENTRE 1 HARBOUR VIEW STREET CENTRAL HONG KONG,"338,897",0.00%
B01275,SANFULL SECURITIES LTD,RM 2001-2006 COSCO TOWER 183 QUEEN'S ROAD CENTRAL HONG KONG,"322,127",0.00%
C00026,CHONG HING BANK LTD,11/F CHONG HING BANK CENTRE 24 DES VOEUX ROAD CENTRAL HONG KONG,"318,324",0.00%
B01939,CHINA INVESTMENT SECURITIES,RM 7701A & 7705B-7708 LEVEL 77 INTERNATIONAL COMMERCE CENTRE 1 AUSTIN ROAD WEST KOWLOON,"291,409",0.00%
B01123,HING WONG SECURITIES LTD,19/F UNIT A&B UNITED CENTRE 95 QUEENSWAY HONG KONG,"290,155",0.00%
B01483,BULLISH SECURITIES LTD,RM B 7/F HILLIER COMMERCIAL BUILDING 89 WING LOK ST EAST CENTRAL HONG KONG,"289,720",0.00%
B01826,GF SECURITIES (HONG KONG) BROKERAGE LTD,29/F-30/F LI PO CHUN CHAMBERS 189 DES VOEUX ROAD CENTRAL HONG KONG,"285,980",0.00%
B01801,KIN FUNG STOCK CO LTD,RM 2105 21/F MELBOURNE PLAZA 33 QUEEN'S ROAD CENTRAL CENTRAL HONG KONG,"283,840",0.00%
B01298,GET NICE SECURITIES LTD,10/F COSCO TOWER GRAND MILLENNIUM PLAZA 183 QUEEN'S ROAD CENTRAL HONG KONG,"282,720",0.00%
B01392,TAIFAIR SECURITIES LTD,RM 701 DINA HOUSE RUTTONJEE CENTRE 11 DUDDELL STREET CENTRAL HONG KONG,"281,064",0.00%
B01905,ESSENCE INTERNATIONAL SECURITIES,39/F ONE EXCHANGE SQUARE CENTRAL HONG KONG,"267,976",0.00%
B01138,CLSA LTD,18/F ONE PACIFIC PLACE 88 QUEENSWAY HONG KONG,"267,569",0.00%
B01416,VC BROKERAGE LTD,28/F THE CENTRIUM 60 WYNDHAM STREET CENTRAL HONG KONG,"260,213",0.00%
B01425,WELLFULL SECURITIES CO LTD,RM 406 4/F HOUSTON CENTRE 63 MODY ROAD TSIMSHATSUI EAST KOWLOON,"252,119",0.00%
B01290,SPS SECURITIES LTD,1/F-2/F PINNACLE BUILDING 9 SHIP STREET WANCHAI HONG KONG,"249,551",0.00%
B01356,DELTA ASIA SECURITIES LTD,5/F LUK KWOK CENTRE 72 GLOUCESTER ROAD WANCHAI HONG KONG,"247,619",0.00%
B01217,TAIPING SECURITIES (HK) CO LTD,RM 2901 CHINA INSURANCE GROUP BUILDING 141 DES VOEUX ROAD CENTRAL HONG KONG,"243,508",0.00%
B01686,FIRST SHANGHAI SECURITIES LTD,19/F WING ON HOUSE 71 DES VOEUX ROAD CENTRAL HONG KONG,"241,276",0.00%
B01184,OCEANWIDE SECURITIES CO LTD,18/F-19/F CHINA BUILDING 29 QUEEN'S ROAD CENTRAL HONG KONG,"241,136",0.00%
B01373,CHRISTFUND SECURITIES LTD,SUITE 2701 27/F PROSPERITY TOWER 39 QUEEN'S ROAD CENTRAL HONG KONG,"240,487",0.00%
B01267,WINFULL SECURITIES LTD,RM 1402 FORTIS BANK TOWER 77-79 GLOUCESTER ROAD WANCHAI HONG KONG,"240,407",0.00%
B01450,DL BROKERAGE LTD,1/F WING'S BLDG 110-116 QUEEN'S ROAD CENTRAL HONG KONG,"239,805",0.00%
B01564,ABCI SECURITIES CO LTD,13/F FAIRMONT HOUSE 8 COTTON TREE DRIVE CENTRAL HONG KONG,"230,630",0.00%
B01849,CIS SECURITIES ASSET MANAGEMENT LTD,21/F TESBURY CENTRE NO. 24-32 QUEEN'S ROAD EAST WANCHAI HONG KONG,"225,116",0.00%
B01938,CHINA INDUSTRIAL SECURITIES,32/F INFINITUS PLAZA 199 DES VOEUX ROAD CENTRAL SHEUNG WAN HONG KONG,"223,789",0.00%
C00088,CHINA MERCHANTS BANK CO LTD,21/F BANK OF AMERICA TOWER 12 HARCOURT ROAD HONG KONG,"223,472",0.00%
B01565,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,27/F GRAND MILLENNIUM PLAZA 181 QUEEN'S ROAD CENTRAL HONG KONG,"217,616",0.00%
B01740,BOOM.COM LTD,RM 2501 25/F AIA TOWER 183 ELECTRIC ROAD NORTH POINT HONG KONG,"212,393",0.00%
B01253,STOCKWELL SECURITIES LTD,UNITS 406-410 4/F TOWER 2 SILVERCORD 30 CANTON ROAD TSIM SHA TSUI KOWLOON,"205,020",0.00%
B01252,CORPORATE BROKERS LTD,18/F FORTIS TOWER 77-79 GLOUCESTER ROAD WANCHAI HONG KONG,"199,861",0.00%
B01929,CHINA GALAXY INTERNATIONAL SECURITIES,20/F WING ON CENTRE 111 CONNAUGHT ROAD CENTRAL HONG KONG,"198,520",0.00%
B01576,SIU ON SECURITIES LTD,32/F SIU ON CENTRE 188 LOCKHART ROAD WANCHAI HONG KONG,"183,667",0.00%
B01280,WING FAT SECURITIES LTD,RM 603A 6/F ADMIRALTY CENTRE TOWER 1 18 HARCOURT ROAD ADMIRALTY HONG KONG,"179,333",0.00%
B01173,RIFA SECURITIES LTD,LEVEL 7 28 HENNESSY ROAD WANCHAI HONG KONG,"172,425",0.00%
B01955,FUTU SECURITIES INTERNATIONAL,11/F BANGKOK BANK BUILDING 14-20 BONHAM STRAND WEST SHEUNG WAN HONG KONG,"165,781",0.00%
B01552,CARRIER STOCK INVESTMENT CO LTD,FLAT 1A 1/F MAN HING COMMERCIAL BUILDING 79-83 QUEEN'S ROAD CENTRAL CENTRAL HONG KONG,"164,853",0.00%
B01556,LUK FOOK SECURITIES (HK) LTD,UNITS 2201-2207 & 2213-2214 22/F COSCO TOWER 183 QUEEN'S ROAD CENTRAL HONG KONG,"164,670",0.00%
B01231,HONG KONG INTERNATIONAL SECURITIES LTD,23/F ARION COMMERCIAL CENTRE 2-12 QUEEN'S ROAD WEST HONG KONG,"157,944",0.00%
B01240,TSUN CHI YUEN SECURITIES CO LTD,20/F MAN ON COMM BLDG 12 JUBILEE ST CENTRAL HONG KONG,"156,483",0.00%
B01649,CINDA INTERNATIONAL SECURITIES LTD,45TH FLOOR COSCO TOWER 183 QUEEN'S ROAD CENTRAL HONG KONG,"154,604",0.00%
B01651,MING HON SECURITIES LTD,RM 602 10 POTTINGER STREET CENTRAL HONG KONG,"154,526",0.00%
B01212,HENYEP SECURITIES LTD,10/F NINE QUEEN'S ROAD CENTRAL HONG KONG,"153,291",0.00%
B01581,KINGSWAY FINANCIAL SERVICES GROUP LTD,7/F TOWER 1 LIPPO CENTRE 89 QUEENSWAY HONG KONG,"151,662",0.00%
B01567,PRIME SECURITIES LTD,ROOM 1601-1602 16/F KAI TAK COMMERCIAL BUILDING 317-319 DES VOEUX ROAD CENTRAL HONG KONG,"149,126",0.00%
B01633,ENLIGHTEN SECURITIES LTD,6/F & 24/F GOLDEN CENTRE 188 DES VOEUX ROAD CENTRAL SHEUNG WAN HONG KONG,"146,944",0.00%
B01685,GRAND INVESTMENT (SECURITIES) LTD,UNIT A3 32/F UNITED CENTRE 95 QUEENSWAY HONG KONG,"142,110",0.00%
B01247,KWAI HUNG SECURITIES CO LTD,19/F ADMIRALTY CENTRE TOWER II 18 HARCOURT ROAD HONG KONG,"141,640",0.00%
C00070,OVERSEA-CHINESE BANKING CORPORATION LTD,9/F NINE QUEEN'S ROAD CENTRAL HONG KONG,"140,271",0.00%
B01543,KWONG FAT HONG (SECURITIES) LTD,23/F & 24/F KWONG FAT HONG BUILDING 1 RUMSEY STREET CENTRAL HONG KONG,"139,742",0.00%
B01588,LEI SHING HONG SECURITIES LTD,8/F NEW WORLD TOWER I 18 QUEEN'S ROAD CENTRAL HONG KONG,"138,670",0.00%
B01540,UPBEST SECURITIES CO LTD,2/F WAH KIT COMMERCIAL CENTRE 302 DES VOEUX ROAD CENTRAL HONG KONG,"136,968",0.00%
B01320,LUEN FAT SECURITIES CO LTD,UNITS 603-605 6/F FWD FINANCIAL CENTRE 308 DES VOEUX ROAD CENTRAL SHEUNG WAN HONG KONG,"135,586",0.00%
B01259,FAIR EAGLE SECURITIES CO LTD,RM 201 2/F CHINA EVERGRANDE CENTRE 38 GLOUCESTER ROAD WANCHAI HONG KONG,"130,356",0.00%
B01324,LIPPO SECURITIES LTD,RM 1802 TOWER ONE LIPPO CENTRE 89 QUEENSWAY CENTRAL HONG KONG,"129,160",0.00%
B01607,RHB SECURITIES HONG KONG LTD,12/F WORLDWIDE HOUSE 19 DES VOEUX ROAD CENTRAL HONG KONG,"126,683",0.00%
B01230,PACIFIC FOUNDATION SECURITIES LTD,11/F NEW WORLD TOWER II 16-18 QUEEN'S ROAD CENTRAL  HONG KONG,"124,117",0.00%
B01292,ALPHA SECURITIES CO LTD,RM 3702A 37/F FAR EAST FINANCE CENTRE 16 HARCOURT ROAD ADMIRALTY HONG KONG,"120,808",0.00%
B01868,JIMEI SECURITIES LTD,RM 1305-1306 13/F JUBILEE CENTRE 18 FENWICK STREET / 46 GLOUCESTER ROAD WANCHAI HONG KONG,"120,500",0.00%
B01782,SEAGA INTERNATIONAL LTD,RM 801 DINA HOUSE RUTTONJEE CENTRE 11 DUDDELL STREET CENTRAL HONG KONG,"118,544",0.00%
B01296,MONTGOMERY SECURITIES LTD,RM 1203-1204 12/F TAI SANG BANK BLDG 130-132 DES VOEUX ROAD CENTRAL HONG KONG,"118,195",0.00%
B01340,LEHIN SECURITIES LTD,UNIT 1007 10/F CHINA INSURANCE GROUP BUILDING 141 DES VOEUX ROAD CENTRAL CENTRAL HONG KONG,"118,090",0.00%
B01445,VICTORY SECURITIES CO LTD,RM 1101-3 11/F YARDLEY COMMERCIAL BLDG 3 CONNAUGHT ROAD WEST SHEUNG WAN HONG KONG,"116,676",0.00%
B01788,SUNRISE SECURITIES LTD,RM 701-702 YUE SHING COMMERCIAL BUILDING 15 QUEEN VICTORIA STREET CENTRAL HONG KONG,"115,693",0.00%
B01752,HOI SANG SECURITIES LTD,RM 704 HARVEST BLDG 29-35 WING KUT STREET CENTRAL HONG KONG,"112,660",0.00%
B01198,PO KAY SECURITIES & SHARES CO LTD,14/F GRAND BUILDING 15-18 CONNAUGHT ROAD CENTRAL HONG KONG,"109,611",0.00%
B01706,MAN HON YEUNG SECURITIES LTD,FLAT B 7/F SHUN ON COMMERCIAL BUILDING 112-114 DES VOEUX ROAD CENTRAL HONG KONG,"109,364",0.00%
B01350,S. W. WOO & CO LTD,RM 1803 YUE SHING COMM BLDG 15 QUEEN VICTORIA ST CENTRAL HONG KONG,"108,160",0.00%
B01661,HERMES SECURITIES LTD,UNIT 2810 28/F CHINA MERCHANTS TOWER SHUN TAK CENTRE 168-200 CONNAUGHT ROAD CENTRAL HONG KONG,"107,803",0.00%
B01789,HO FUNG SHARES INVESTMENT LTD,FLAT 05-06 1/F WAH PO BUILDING 334-346 SHAU KEI WAN ROAD SHAU KEI WAN HONG KONG,"107,395",0.00%
B01563,HUARONG INTERNATIONAL SECURITIES LTD,29/F ONE PACIFIC PLACE 88 QUEENSWAY HONG KONG,"107,393",0.00%
B01469,KAISER SECURITIES LTD,3101-05 31/F WEST TOWER SHUN TAK CENTRE 168-200 CONNAUGHT ROAD CENTRAL SHEUNG WAN HONG KONG,"106,420",0.00%
B01470,HUNG SING SECURITIES LTD,SUITE 2505 25/F WEST TOWER SHUN TAK CENTRE 200 CONNAUGHT ROAD CENTRAL SHEUNG WAN HONG KONG,"105,992",0.00%
B01787,SOO PUI CHEN SECURITIES LTD,RM 802 CHEONG K BUILDING 86 DES VOEUX ROAD CENTRAL HONG KONG,"105,185",0.00%
B01664,ROOFER SECURITIES LTD,7/F PEARL ORIENTAL HOUSE 60 STANLEY STREET CENTRAL HONG KONG,"104,968",0.00%
B01271,HANG TAI SECURITIES LTD,RM 506-508 5/F TWO EXCHANGE SQUARE 8 CONNAUGHT PLACE CENTRAL HONG KONG,"104,169",0.00%
B01708,ROSA SECURITIES LTD,ROOM 701 9 QUEEN'S ROAD CENTRAL HONG KONG,"103,654",0.00%
B01238,TAI YIP STOCK CO LTD,RM 304-307 CHINA INSURANCE GROUP BLDG 141 DES VOEUX ROAD CENTRAL HONG KONG,"103,031",0.00%
B01158,SOLID KING SECURITIES LTD,UNITS 1205-6 12/F WEST TOWER SHUN TAK CENTRE 200 CONNAUGHT ROAD CENTRAL HONG KONG,"101,705",0.00%
B01351,WING FUNG SECURITIES LTD,20/F WING ON HOUSE 71 DES VOEUX ROAD CENTRAL CENTRAL HONG KONG,"100,552",0.00%
B01439,TAI TAK SECURITIES (ASIA) LTD,707A WING ON HOUSE 71 DES VOEUX ROAD CENTRAL HONG KONG,"93,480",0.00%
B01666,CHINA GOLDJOY SECURITIES LTD,UNITS 1704-1706 17/F INFINITUS PLAZA 199 DES VOEUX ROAD CENTRAL HONG KONG,"91,276",0.00%
B01848,CATHAY SECURITIES (HONG KONG) LTD,RM 1001 10/F CHINA BUILDING 29 QUEEN'S ROAD CENTRAL HONG KONG,"88,000",0.00%
B01894,MAYFAIR & AYERS FINANCIAL GROUP LTD,UNITS 3103A-3108 31/F TOWER 2 LIPPO CENTRE 89 QUEENSWAY ADMIRALTY HONG KONG,"87,500",0.00%
B01566,K.K.M. SECURITIES LTD,23/F 77-83 WANCHAI ROAD WANCHAI HONG KONG,"83,103",0.00%
B01767,NEW GALA SECURITIES CO LTD,RM 1106 REGENT CENTRE 88 QUEEN'S ROAD CENTRAL HONG KONG,"80,328",0.00%
B01343,CELETIO INVESTMENTS LTD,ROOM 2202-3 22/F CHINA INSURANCE GROUP BUILDING 141 DES VOEUX ROAD CENTRAL HONG KONG,"80,174",0.00%
B01462,PING AN SECURITIES LTD,UNIT 02 2/F CHINA MERCHANTS BUILDING 152-155 CONNAUGHT ROAD CENTRAL HONG KONG,"78,777",0.00%
B01765,PROMISING SECURITIES CO LTD,22/F CHUN WO COMMERCIAL CENTRE 23-27 WING WO STREET HONG KONG,"76,096",0.00%
