Participant ID,Name of CCASS Participant(* for Consenting Investor Participants ),Address,Shareholding,% of the total numberof Issued Shares/Warrants/Units


C00019,THE HONGKONG AND SHANGHAI BANKING,HSBC WEALTH BUSINESS SERVICES 8/F TOWER 2 & 3 HSBC CENTRE 1 SHAM MONG ROAD KOWLOON,"822,535,765",21.32%
C00039,STANDARD CHARTERED BANK (HONG KONG) LTD,SECURITIES SERVICES 15/F STANDARD CHARTERED TOWER 388 KWUN TONG ROAD KWUN TONG KOWLOON,"584,154,588",15.14%
C00100,"JPMORGAN CHASE BANK, NATIONAL",48/F ONE ISLAND EAST 18 WESTLANDS ROAD QUARRY BAY HONG KONG,"386,448,595",10.01%
C00010,CITIBANK N.A.,9/F CITI TOWER ONE BAY EAST 83 HOI BUN ROAD KWUN TONG KOWLOON,"266,501,869",6.90%
C00018,HANG SENG BANK LTD,16/F HANG SENG 113 113 ARGYLE STREET MONGKOK KOWLOON,"64,824,057",1.68%
C00074,DEUTSCHE BANK AG,51/F-66/F INTERNATIONAL COMMERCE CENTRE 1 AUSTIN ROAD WEST KOWLOON,"49,495,626",1.28%
B01161,UBS SECURITIES HONG KONG LTD,42/F ONE EXCHANGE SQUARE 8 CONNAUGHT PLACE CENTRAL HONG KONG,"46,432,427",1.20%
C00033,BANK OF CHINA (HONG KONG) LTD,11/F BANK OF CHINA CENTRE OLYMPIAN CITY 11 HOI FAI ROAD WEST KOWLOON,"42,755,806",1.10%
C00093,BNP PARIBAS SECURITIES SERVICES,21/F PCCW TOWER TAIKOO PLACE 979 KING'S ROAD QUARRY BAY HONG KONG,"21,434,308",0.55%
B01451,GOLDMAN SACHS (ASIA) SECURITIES LTD,68TH FLOOR CHEUNG KONG CENTER 2 QUEEN'S ROAD CENTRAL HONG KONG,"19,079,137",0.49%
B01284,HANG SENG SECURITIES LTD,16/F HANG SENG 113 113 ARGYLE STREET MONGKOK KOWLOON,"17,948,175",0.46%
A00003,CHINA SECURITIES DEPOSITORY AND CLEARING,17 TAIPING QIAO STREET XICHENG DISTRICT BEIJING CHINA,"16,319,298",0.42%
C00003,THE BANK OF EAST ASIA LTD,35/F BEA TOWER MILLENNIUM CITY 5 418 KWUN TONG ROAD KWUN TONG KOWLOON,"13,559,876",0.35%
C00042,WING LUNG BANK LTD,RM 1207-1209 12/F WING LUNG BANK CENTRE 636 NATHAN ROAD KOWLOON,"11,188,926",0.29%
B01224,MERRILL LYNCH FAR EAST LTD,C/O BANK OF AMERICA MERRILL LYNCH 38/F CHEUNG KONG CENTER 2 QUEEN'S ROAD CENTRAL CENTRAL HONG KONG,"10,164,757",0.26%
C00041,OCBC WING HANG BANK LTD,UNIT 1702 17/F EASTERN CENTRAL PLAZA 3 YIU HING ROAD SHAU KEI WAN HONG KONG,"9,315,009",0.24%
B01130,BOCI SECURITIES LTD,22/F GRAND MILLENNIUM PLAZA 181 QUEEN'S ROAD CENTRAL HONG KONG,"9,141,845",0.23%
