Participant ID,Name of CCASS Participant(* for Consenting Investor Participants ),Address,Shareholding,% of the total numberof Issued Shares/Warrants/Units
C00048,CHIYU BANKING CORPORATION LTD,11/F BANK OF CHINA CENTRE OLYMPIAN CITY 11 HOI FAI ROAD WEST KOWLOON,"2,227,319",0.05%
B01345,PHILLIP SECURITIES (HONG KONG) LTD,11/F UNITED CENTRE 95 QUEENSWAY HONG KONG,"1,867,152",0.04%
B01590,INTERACTIVE BROKERS HONG KONG LTD,SUITE 1512 TWO PACIFIC PLACE 88 QUEENSWAY HONG KONG,"1,864,224",0.04%
C00016,DBS BANK LTD,11/F MILLENNIUM CITY 6 392 KWUN TONG ROAD KWUN TONG KOWLOON,"1,837,700",0.04%
C00102,MACQUARIE BANK LTD,LEVEL 18 ONE INTERNATIONAL FINANCE CENTRE 1 HARBOUR VIEW STREET CENTRAL HONG KONG,"1,827,977",0.04%
B01143,HAITONG INTERNATIONAL SECURITIES CO LTD,22/F LI PO CHUN CHAMBERS 189 DES VOEUX ROAD CENTRAL HONG KONG,"1,626,551",0.04%
B01129,WOCOM SECURITIES LTD,RM 1002 WING ON CENTRE 111 CONNAUGHT ROAD CENTRAL HONG KONG,"1,624,048",0.04%
C00040,INDUSTRIAL AND COMMERCIAL BANK OF CHINA,LEVEL 16 TOWER 1 MILLENNIUM CITY 1 388 KWUN TONG ROAD KWUN TONG KOWLOON,"1,420,318",0.03%
B01511,TAT LEE SECURITIES CO LTD,RM 1801-1806 PRESIDENT COMMERCIAL CENTRE 608 NATHAN ROAD MONGKOK KOWLOON,"1,344,527",0.03%
B01610,KGI ASIA LTD,41/F CENTRAL PLAZA 18 HARBOUR ROAD WANCHAI HONG KONG,"1,341,452",0.03%
B01272,FB SECURITIES (HONG KONG) LTD,19/F GREENWICH CENTRE 260 KING'S ROAD NORTH POINT HONG KONG,"1,162,513",0.03%
B01842,BOCOM INTERNATIONAL SECURITIES LTD,11/F MAN YEE BUILDING 68 DES VOEUX ROAD CENTRAL HONG KONG,"1,134,355",0.02%
B01497,SINOPAC SECURITIES (ASIA) LTD,21/F ONE PEKING 1 PEKING ROAD TSIMSHATSUI KOWLOON,"1,024,823",0.02%
B01584,CHIEF SECURITIES LTD,11/F FWD FINANCIAL CENTRE 308 DES VOEUX ROAD CENTRAL HONG KONG,"985,625",0.02%
